rank|name|revenue|industry|employees|founded|growth|city|state
4110|Nomadness|2.6|Travel & Hospitality|11.0|2008.0|66|Calabasas|CA
4111|AppRiver|72.8|IT Services|256.0|2002.0|66|Gulf Breeze|FL
4112|Mankin Media Systems|10.0|Media|28.0|2001.0|66|Franklin|TN
4113|H2O Media|3.3|Advertising & Marketing|11.0|2009.0|66|Eden Prairie|MN
4114|Bintelli & citEcar Electric Vehicles|8.6|Consumer Products & Services|11.0|2000.0|66|Charleston|SC
4115|Citytwist|12.9|Advertising & Marketing|120.0|2003.0|66|Boca Raton|FL
4116|Medical Shipment|5.0|Health|15.0|2007.0|66|Elk Grove Village|IL
4117|BIS Global/CharityEngine|4.4|Software|26.0|1999.0|66|McLean|VA
4118|Southwest Capital Bank|19.0|Financial Services|100.0||66|Albuquerque|NM
4119|Prestige Staffing|33.0|Human Resources|93.0|1999.0|66|Atlanta|GA
4120|milk + honey|13.8|Consumer Products & Services|276.0|2006.0|66|Austin|TX
4121|Division-D|24.8|Advertising & Marketing|65.0|2003.0|66|Columbia|MO
4122|Inverselogic|2.5|IT Services|12.0|1997.0|66|Glendale|CA
